age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
3,housemaid,married,basic.4y,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,services,married,high.school,unknown,no,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,basic.6y,no,no,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,services,married,high.school,no,no,yes,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,basic.9y,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,professional.course,no,no,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,technician,single,professional.course,no,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,services,single,high.school,no,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,services,single,high.school,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,blue-collar,single,high.school,no,no,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,management,single,basic.9y,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,unemployed,married,high.school,no,no,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,retired,single,high.school,no,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,single,high.school,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,high.school,no,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,married,university.degree,no,no,yes,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,technician,married,unknown,no,yes,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,technician,single,university.degree,unknown,no,no,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,unknown,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,technician,married,unknown,no,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,unknown,no,no,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,management,married,basic.4y,unknown,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,technician,married,basic.9y,no,yes,no,telephone,may,mon,5.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,no,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,technician,married,basic.4y,no,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,management,unknown,university.degree,no,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,single,professional.course,no,no,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,university.degree,no,no,yes,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,technician,single,professional.course,unknown,no,no,telephone,may,mon,1.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,university.degree,no,yes,yes,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,no,yes,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,high.school,no,no,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,high.school,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,single,professional.course,no,no,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,3.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,technician,married,professional.course,unknown,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,management,married,university.degree,unknown,no,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,services,married,high.school,unknown,yes,no,telephone,may,mon,5.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
1,technician,single,university.degree,no,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,5.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,2.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
3,admin.,married,high.school,no,no,no,telephone,may,mon,4.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
2,admin.,married,university.degree,no,no,no,telephone,may,mon,3.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
